interaction_id,label,control_type,module,screen_or_stage,component_or_file,option_source,canonical_state_path,handler_name,recompute_required,recompute_path,render_consumers,export_consumers,legacy_dependency,status,notes,tier,surface,persistence_contract
campaign_selector,Campaign selector,context_selector,shell,v3 topbar context,js/app/v3/index.js,manual_text_input,state.campaignId,setShellContextPatch,yes,shellBridgeSetContext->loadState->render->notifyBridgeSync,v3 context mirror|all active stage views,state scoped exports and reports,none,PASS,Context lock aware,tier3,admin_support,campaignId+officeId scoped shell context
office_selector,Office selector,context_selector,shell,v3 topbar context,js/app/v3/index.js,manual_text_input,state.officeId,setShellContextPatch,yes,shellBridgeSetContext->loadState->render->notifyBridgeSync,v3 context mirror|all active stage views,state scoped exports and reports,none,PASS,Context lock aware,tier3,admin_support,campaignId+officeId scoped shell context
scenario_selector,Scenario selector,selector,scenarios,v3 scenarios stage,js/app/v3/surfaces/scenarios.js,scenarioBridgeStateView.scenarios,state.ui.scenarioUiSelectedId,selectScenario,yes,scenarioBridgeLoad->render->notifyBridgeSync,scenario workspace labels and active scenario surfaces,scenario scoped exports and archive rows,none,PASS,Selection and load split across controls,tier1,scenarios,campaignId+officeId+scenarioId scoped state snapshot
template_archetype_dropdown,Race template dropdown,dropdown,district,v3 district race setup,js/app/v3/surfaces/district/index.js,listDistrictRaceTypeOptions,state.raceType,setDistrictFormField,yes,districtBridgeSetFormField->setState->commitUIUpdate->render->notifyBridgeSync,district setup summary|template profile|downstream stage summaries,scenario exports|diagnostic snapshots,none,PASS,Canonical race template source from districtOptionRegistry,tier1,district,campaignId+officeId+scenarioId scoped state snapshot
targeting_model_dropdown,Target model dropdown,dropdown,district,v3 district targeting block,js/app/v3/surfaces/district/index.js,listTargetModelOptions,state.targeting.presetId|state.targeting.modelId,applyDistrictTargetingPreset,yes,districtBridgeApplyTargetingPreset->setState->commitUIUpdate->render->notifyBridgeSync,targeting config controls|status cards|results table,targeting csv|targeting json,none,PASS,Canonical model option source from targetingRuntime,tier1,targeting,campaignId+officeId+scenarioId scoped state snapshot
support_turnout_threshold_controls,Support turnout threshold controls,numeric_group,turnout,v3 turnout assumptions card,js/app/v3/surfaces/turnout.js,direct_numeric_input,state.turnoutBaselinePct|state.turnoutTargetOverridePct,turnoutBridgeSetField,yes,commitUIUpdate->render,turnout summary and downstream KPI surfaces,summary text export and reports,none,PASS,Threshold changes must recompute,tier1,turnout,campaignId+officeId+scenarioId scoped state snapshot
workforce_role_selector,Workforce role selector,dropdown,operations,operations pipeline lead form,js/operationsPipeline.js,operations-pipeline leadRoleType canonical options organizer|volunteer|paid_canvasser,indexeddb:operations.persons[].workforceRole,saveLead->normalizePersonWorkforceFields->put,yes,renderPipeline->computeOperationalRollups->operationsCapacityOutlook.schedule->compileEffectiveInputs,operations pipeline table|operations hub aggregate workforce cards|planner capacity surfaces,operations snapshot json/csv|forecast archive workforce summaries|reporting workforce sections,none,PASS,Phase 14 canonical role typing wired,tier2,operations_workforce,campaignId+officeId scoped indexeddb persons store
budget_channel_selector,Budget channel selector,dropdown_group,turnout,v3 turnout efficiency card,js/app/v3/surfaces/turnout.js,TURNOUT_SELECT_OPTIONS.tacticKind,state.budget.tactics.doors.kind|phones.kind|texts.kind,turnoutBridgeSetField,yes,commitUIUpdate->render,turnout roi table and status banners,summary export and future client reports,none,PASS,Canonical channel-kind source,tier2,budget_channel_controls,campaignId+officeId+scenarioId scoped state snapshot
weather_zip_selector,Weather ZIP selector,text_input,war_room,v3 war room weather card,js/app/v3/surfaces/warRoom/index.js,direct_input,state.warRoom.weather.officeZip|state.warRoom.weather.overrideZip|state.warRoom.weather.useOverrideZip,decisionBridgeSetWeatherField,yes,decisionBridgeSetWeatherField->decisionBridgeRefreshWeather->applyWeatherObservationToState->render->notifyBridgeSync,war room weather risk card|3-day forecast|adjustment banner,war room report sections and operational notes,none,PASS,Phase 18.5 weather ZIP source wired,tier1,war_room,campaignId+officeId+scenarioId scoped state snapshot
weather_mode_toggle,Weather mode toggle,toggle,war_room,v3 war room weather card,js/app/v3/surfaces/warRoom/index.js,static observe_only|today_only,state.warRoom.weatherAdjustment.mode,decisionBridgeSetWeatherMode,yes,decisionBridgeSetWeatherMode->applyWeatherModeToState->render->notifyBridgeSync,war room adjustment visibility|field risk framing,war room summaries and operational notes,none,PASS,Phase 18.5 today-only adjustment mode wired,tier1,war_room,campaignId+officeId+scenarioId scoped state snapshot
