artifact_type,artifact_id,artifact_path,concept_represents,feeds_canonical_state,canonical_math_use,material_decision_impact,redundant_with_stronger_concept,if_removed_what_gets_worse,classification,owner_action,phase_target,notes
input_control,campaign_selector,js/app/v3/index.js,Campaign selector (context_selector) writes state.campaignId,yes,yes,yes,none,breaks v3 context mirror|all active stage views and state scoped exports and reports,KEEP,retain canonical path,phase23,Context lock aware
input_control,office_selector,js/app/v3/index.js,Office selector (context_selector) writes state.officeId,yes,yes,yes,none,breaks v3 context mirror|all active stage views and state scoped exports and reports,KEEP,retain canonical path,phase23,Context lock aware
input_control,scenario_selector,js/app/v3/surfaces/scenarios.js,Scenario selector (selector) writes state.ui.scenarioUiSelectedId,yes,yes,yes,none,breaks scenario workspace labels and active scenario surfaces and scenario scoped exports and archive rows,KEEP,retain canonical path,phase23,Selection and load split across controls
input_control,template_archetype_dropdown,js/app/v3/surfaces/district.js,Race template dropdown (dropdown) writes state.raceType,yes,yes,yes,none,breaks district setup summary|template profile|downstream stage summaries and scenario exports|diagnostic snapshots,KEEP,retain canonical path,phase23,Canonical race template source from districtOptionRegistry
input_control,targeting_model_dropdown,js/app/v3/surfaces/district.js,Target model dropdown (dropdown) writes state.targeting.presetId|state.targeting.modelId,yes,yes,yes,none,breaks targeting config controls|status cards|results table and targeting csv|targeting json,KEEP,retain canonical path,phase23,Canonical model option source from targetingRuntime
input_control,support_turnout_threshold_controls,js/app/v3/surfaces/turnout.js,Support turnout threshold controls (numeric_group) writes state.turnoutBaselinePct|state.turnoutTargetOverridePct,yes,yes,yes,none,breaks turnout summary and downstream KPI surfaces and summary text export and reports,KEEP,retain canonical path,phase23,Threshold changes must recompute
input_control,workforce_role_selector,js/operationsPipeline.js,Workforce role selector (dropdown) writes indexeddb:operations.persons[].workforceRole,yes,yes,yes,none,breaks operations pipeline table|operations hub aggregate workforce cards|planner capacity surfaces and operations snapshot json/csv|forecast archive workforce summaries|reporting workforce sections,KEEP,retain canonical path,phase23,Phase 14 canonical role typing wired
input_control,budget_channel_selector,js/app/v3/surfaces/turnout.js,Budget channel selector (dropdown_group) writes state.budget.tactics.doors.kind|phones.kind|texts.kind,yes,yes,yes,none,breaks turnout roi table and status banners and summary export and future client reports,KEEP,retain canonical path,phase23,Canonical channel-kind source
input_control,weather_zip_selector,js/app/v3/surfaces/decisionLog.js,Weather ZIP selector (text_input) writes state.warRoom.weather.officeZip|state.warRoom.weather.overrideZip|state.warRoom.weather.useOverrideZip,yes,yes,yes,none,breaks war room weather risk card|3-day forecast|adjustment banner and war room report sections and operational notes,KEEP,retain canonical path,phase23,Phase 18.5 weather ZIP source wired
input_control,weather_mode_toggle,js/app/v3/surfaces/decisionLog.js,Weather mode toggle (toggle) writes state.warRoom.weatherAdjustment.mode,yes,yes,yes,none,breaks war room adjustment visibility|field risk framing and war room summaries and operational notes,KEEP,retain canonical path,phase23,Phase 18.5 today-only adjustment mode wired
input_control,event_category_selector,js/app/v3/surfaces/decisionLog.js,Event category selector (dropdown) writes state.warRoom.eventCalendar.draft.category,yes,yes,yes,none,breaks event draft fields|event table|war room impact summary and war room decision session context|future report selectors,KEEP,retain canonical path,phase23,Phase 18.75 canonical event draft category selector
input_control,event_apply_to_model_toggle,js/app/v3/surfaces/decisionLog.js,Event apply to model toggle (toggle) writes state.warRoom.eventCalendar.events[].applyToModel,yes,yes,yes,none,breaks event table apply toggle|war room impact summary|effective capacity views and war room decision context|future event impact report sections,KEEP,retain canonical path,phase23,Capacity-only apply toggle; admin events forced false
input_control,event_date_filter_selector,js/app/v3/surfaces/decisionLog.js,Event date filter selector (date_input) writes state.warRoom.eventCalendar.filters.date,yes,yes,yes,none,breaks event table rows|event summary|event impact text and war room decision context|future report selectors,KEEP,retain canonical path,phase23,Date-bound event visibility and capacity effect scope
input_control,event_status_selector,js/app/v3/surfaces/decisionLog.js,Event status selector (dropdown) writes state.warRoom.eventCalendar.events[].status,yes,yes,yes,none,breaks event row status|include-inactive filtering|impact eligibility and war room decision context|future report selectors,KEEP,retain canonical path,phase23,Status controls whether event is capacity-eligible
input_control,event_type_selector,js/app/v3/surfaces/decisionLog.js,Event type selector (dropdown) writes state.warRoom.eventCalendar.draft.eventType,yes,yes,yes,none,breaks event draft fields|event table preview and war room decision context|future report selectors,KEEP,retain canonical path,phase23,Category-aware type options from canonical registry
input_control,report_type_selector,js/app/v3/surfaces/data.js,Report type selector (dropdown) writes state.ui.reporting.request.type,yes,yes,yes,none,breaks data report status|data report preview|report action controls and exportReportPdf|client report pdf|internal report pdf,KEEP,retain canonical path,phase23,Phase 21.5 canonical reporting selector wired
input_control,manual_intelligence_selector,js/app/v3/surfaces/controls.js,Manual intelligence selector (selector) writes state.intelState.uiSelections.auditId|benchmarkRef,yes,yes,yes,none,breaks controls trust cards and evidence queue and diagnostic and audit exports,KEEP,retain canonical path,phase23,Manual operations control
input_control,intelligence_model_mode_tab,js/app/intelligenceRenderer.js,Intelligence model mode tab (tab_navigation) writes state.ui.intelligence.mode|state.ui.intelligence.modelId,yes,no_or_indirect,yes,none,breaks intelligence panel title|sections|related links,KEEP,retain canonical path,phase23,Phase 20 model registry mode navigation
input_control,known_live_update_control_plan_mode,js/app/v3/surfaces/plan.js,Plan mode selector live update (dropdown) writes state.budget.optimize.mode,yes,yes,yes,none,breaks plan optimizer card and KPI strip and summary export and downstream reports,KEEP,retain canonical path,phase23,Previously stale now event synced
input_control,plan_objective_selector,js/app/v3/surfaces/plan.js,Plan objective selector (dropdown) writes state.budget.optimize.objective,yes,yes,yes,none,breaks plan optimizer allocation and summary cards and summary export and downstream reports,KEEP,retain canonical path,phase23,Canonical objective normalization
input_control,plan_tl_objective_selector,js/app/v3/surfaces/plan.js,Plan timeline objective selector (dropdown) writes state.budget.optimize.tlConstrainedObjective,yes,yes,yes,none,breaks plan timeline feasibility and warnings and summary export and downstream reports,KEEP,retain canonical path,phase23,Canonical objective normalization
input_control,plan_timeline_toggle,js/app/v3/surfaces/plan.js,Timeline module toggle (toggle) writes state.timelineEnabled,yes,yes,yes,none,breaks timeline card and risk card and summary export and downstream reports,KEEP,retain canonical path,phase23,Module enable guard
input_control,turnout_mode_selector,js/app/v3/surfaces/turnout.js,GOTV mode selector (dropdown) writes state.gotvMode,yes,yes,yes,none,breaks turnout lift card and summary cards and summary export and downstream reports,KEEP,retain canonical path,phase23,Canonical option owner
input_control,turnout_diminishing_toggle,js/app/v3/surfaces/turnout.js,Diminishing returns toggle (toggle) writes state.gotvDiminishing,yes,yes,yes,none,breaks turnout lift card and summary cards and summary export and downstream reports,KEEP,retain canonical path,phase23,Canonical turnout lever
input_control,outcome_mc_mode_selector,js/app/v3/surfaces/outcome.js,Outcome MC mode selector (dropdown) writes state.mcMode,yes,yes,yes,none,breaks outcome forecast and confidence cards and summary export and downstream reports,KEEP,retain canonical path,phase23,Canonical options detached from legacy DOM
input_control,outcome_mc_volatility_selector,js/app/v3/surfaces/outcome.js,Outcome MC volatility selector (dropdown) writes state.mcVolatility,yes,yes,yes,none,breaks outcome risk and confidence cards and summary export and downstream reports,KEEP,retain canonical path,phase23,Canonical options detached from legacy DOM
input_control,outcome_surface_lever_selector,js/app/v3/surfaces/outcome.js,Outcome surface lever selector (dropdown) writes state.ui.outcomeSurfaceInputs.surfaceLever,yes,yes,yes,none,breaks outcome surface table and summary text,KEEP,retain canonical path,phase23,Surface inputs canonicalized in state
input_control,outcome_surface_mode_selector,js/app/v3/surfaces/outcome.js,Outcome surface mode selector (dropdown) writes state.ui.outcomeSurfaceInputs.surfaceMode,yes,yes,yes,none,breaks outcome surface status and rows,KEEP,retain canonical path,phase23,Surface inputs canonicalized in state
input_control,reach_override_mode_selector,js/app/v3/surfaces/reach.js,Reach capacity override mode selector (dropdown) writes state.twCapOverrideMode,yes,yes,yes,none,breaks reach weekly and outlook cards and summary export and downstream reports,KEEP,retain canonical path,phase23,Canonical override mode
input_control,reach_override_enabled_toggle,js/app/v3/surfaces/reach.js,Reach override enabled toggle (toggle) writes state.twCapOverrideEnabled,yes,yes,yes,none,breaks reach weekly and outlook cards and summary export and downstream reports,KEEP,retain canonical path,phase23,Canonical override gate
input_control,data_restore_backup_selector,js/app/v3/surfaces/data.js,Restore backup selector (selector) writes dataBridgeSelectedBackup transient and restored state,yes,yes,yes,none,breaks data status and archive summaries and state export and archive,KEEP,retain canonical path,phase23,Restore is state replacement path
input_control,data_archive_selector,js/app/v3/surfaces/data.js,Archive selection selector (selector) writes dataBridgeSelectedArchiveHash,yes,no_or_indirect,yes,none,breaks data archive detail block and save control and archive actual save output,KEEP,retain canonical path,phase23,Selection is non mutating
input_control,data_voter_adapter_selector,js/app/v3/surfaces/data.js,Voter adapter selector (dropdown) writes state.voterData.manifest.adapterId,yes,yes,yes,none,breaks voter layer status and data warnings and voter source refs and report inputs,KEEP,retain canonical path,phase23,Adapter selection applies at import submit
input_control,decision_session_selector,js/app/v3/surfaces/decisionLog.js,Decision session selector (selector) writes state.ui.decision.activeSessionId,yes,yes,yes,none,breaks war room summary and diagnostics tables and decision summary export json,KEEP,retain canonical path,phase23,Canonical war room session owner
